iter	Passed	Remaining
680	3521	1649
681	3522	1642
682	3523	1635
683	3524	1628
684	3526	1621
685	3527	1614
686	3528	1607
687	3530	1600
688	3531	1594
689	3532	1587
690	3535	1581
691	3538	1574
692	3539	1568
693	3541	1561
694	3543	1554
695	3544	1548
696	3545	1541
697	3547	1534
698	3549	1528
699	3550	1521
700	3551	1515
701	3553	1508
702	3554	1501
703	3555	1495
704	3557	1488
705	3558	1481
706	3559	1475
707	3560	1468
708	3562	1462
709	3565	1456
710	3567	1449
711	3568	1443
712	3569	1436
713	3571	1430
714	3572	1424
715	3574	1417
716	3575	1411
717	3577	1405
718	3578	1398
719	3580	1392
720	3581	1385
721	3583	1379
722	3584	1373
723	3585	1366
724	3586	1360
725	3588	1354
726	3589	1347
727	3590	1341
728	3593	1335
729	3595	1330
730	3597	1323
731	3598	1317
732	3600	1311
733	3602	1305
734	3604	1299
735	3605	1293
736	3607	1287
737	3610	1281
738	3612	1275
739	3613	1269
740	3615	1263
741	3616	1257
742	3618	1251
743	3619	1245
744	3620	1239
745	3623	1233
746	3625	1228
747	3627	1221
748	3628	1215
749	3629	1209
750	3631	1204
751	3632	1198
752	3634	1192
753	3635	1186
754	3637	1180
755	3638	1174
756	3639	1168
757	3640	1162
758	3642	1156
759	3643	1150
760	3644	1144
761	3645	1138
762	3647	1132
763	3648	1126
764	3649	1121
765	3651	1115
766	3654	1110
767	3655	1104
768	3656	1098
769	3658	1092
770	3659	1087
771	3661	1081
772	3662	1075
773	3664	1069
774	3665	1064
775	3667	1058
776	3668	1052
777	3670	1047
778	3671	1041
779	3673	1036
780	3674	1030
781	3675	1024
782	3677	1019
783	3678	1013
784	3679	1007
785	3682	1002
786	3684	997
787	3685	991
788	3687	986
789	3688	980
790	3690	975
791	3691	969
792	3692	963
793	3694	958
794	3695	953
795	3697	947
796	3698	942
797	3700	936
798	3701	931
799	3702	925
800	3703	920
801	3705	914
802	3706	909
803	3707	903
804	3708	898
805	3711	893
806	3713	888
807	3715	882
808	3716	877
809	3718	872
810	3719	866
811	3721	861
812	3722	856
813	3723	850
814	3725	845
815	3726	840
816	3728	835
817	3729	829
818	3730	824
819	3731	819
820	3733	813
821	3734	808
822	3735	803
823	3737	798
824	3738	792
825	3740	787
826	3743	783
827	3744	777
828	3746	772
829	3747	767
830	3748	762
831	3750	757
832	3751	752
833	3753	747
834	3754	741
835	3756	736
836	3757	731
837	3758	726
838	3759	721
839	3761	716
840	3762	711
841	3763	706
842	3765	701
843	3766	696
844	3768	691
845	3771	686
846	3773	681
847	3774	676
848	3776	671
849	3777	666
850	3779	661
851	3780	656
852	3782	651
853	3783	646
854	3785	641
855	3786	637
856	3788	632
857	3789	627
858	3790	622
859	3792	617
860	3793	612
861	3795	607
862	3796	602
863	3798	597
864	3801	593
865	3803	588
866	3804	583
867	3806	578
868	3807	573
869	3808	569
870	3810	564
871	3811	559
872	3813	554
873	3814	549
874	3816	545
875	3817	540
876	3819	535
877	3820	530
878	3822	526
879	3823	521
880	3824	516
881	3825	511
882	3827	507
883	3829	502
884	3832	498
885	3834	493
886	3835	488
887	3836	483
888	3838	479
889	3839	474
890	3841	469
891	3842	465
892	3845	460
893	3847	456
894	3849	451
895	3850	446
896	3851	442
897	3853	437
898	3854	433
899	3856	428
900	3857	423
901	3860	419
902	3862	414
903	3863	410
904	3865	405
905	3866	401
906	3868	396
907	3869	392
908	3870	387
909	3872	382
910	3873	378
911	3875	373
912	3876	369
913	3878	364
914	3879	360
915	3880	355
916	3882	351
917	3883	346
918	3885	342
919	3886	337
920	3888	333
921	3891	329
922	3892	324
923	3894	320
924	3895	315
925	3897	311
926	3898	307
927	3900	302
928	3901	298
929	3903	293
930	3906	289
931	3907	285
932	3909	280
933	3910	276
934	3912	271
935	3913	267
936	3914	263
937	3916	258
938	3919	254
939	3921	250
940	3922	245
941	3923	241
942	3925	237
943	3926	232
944	3928	228
945	3930	224
946	3932	220
947	3934	215
948	3936	211
949	3937	207
950	3939	202
951	3940	198
952	3942	194
953	3943	190
954	3944	185
955	3947	181
956	3950	177
957	3951	173
958	3953	169
959	3954	164
960	3956	160
961	3957	156
962	3958	152
963	3960	147
964	3962	143
965	3964	139
966	3966	135
967	3967	131
968	3968	126
969	3970	122
970	3971	118
971	3973	114
972	3974	110
973	3975	106
974	3979	102
975	3981	97
976	3982	93
977	3983	89
978	3985	85
979	3986	81
980	3988	77
981	3989	73
982	3991	69
983	3992	64
984	3994	60
985	3995	56
986	3997	52
987	3998	48
988	3999	44
989	4001	40
990	4002	36
991	4004	32
992	4005	28
993	4009	24
994	4010	20
995	4012	16
996	4013	12
997	4015	8
998	4016	4
999	4017	0
